"FilterId","SiteNumber","Latitude","Longitude","Location","SamplePeriod","Village","BurnInHome","PM2.5Mass.ug","SampledAirVolume.m3","PM2.5Mass.ug.m3","LgMass.ug","LgMass.ug.LOQ","LgMass.ug.m3","LgMass.ug.m3.LOQ","X2npMass.ug","X2nflMass.ug","X1npMass.ug","X2npMass.ug.LOQ","X2nflMass.ug.LOQ","X1npMass.ug.LOQ","X2npMass.ug.m3","X2nflMass.ug.m3","X1npMass.ug.m3","X2npMass.ug.m3.LOQ","X2nflMass.ug.m3.LOQ","X1npMass.ug.m3.LOQ","FlAnMass.ug","PyrMass.ug","BaAMass.ug","ChryMass.ug","BbFMass.ug","BkFMass.ug","BaPMass.ug","I123cdPMass.ug","DahAMass.ug","BghiPMass.ug","FlAnMass.ug.LOQ","PyrMass.ug.LOQ","BaAMass.ug.LOQ","ChryMass.ug.LOQ","BbFMass.ug.LOQ","BkFMass.ug.LOQ","BaPMass.ug.LOQ","I123cdPMass.ug.LOQ","DahAMass.ug.LOQ","BghiPMass.ug.LOQ","FlAnMass.ug.m3","PyrMass.ug.m3","BaAMass.ug.m3","ChryMass.ug.m3","BbFMass.ug.m3","BkFMass.ug.m3","BaPMass.ug.m3","I123cdPMass.ug.m3","DahAMass.ug.m3","BghiPMass.ug.m3","FlAnMass.ug.m3.LOQ","PyrMass.ug.m3.LOQ","BaAMass.ug.m3.LOQ","ChryMass.ug.m3.LOQ","BbFMass.ug.m3.LOQ","BkFMass.ug.m3.LOQ","BaPMass.ug.m3.LOQ","I123cdPMass.ug.m3.LOQ","DahAMass.ug.m3.LOQ","BghiPMass.ug.m3.LOQ","Mg.Mass.ug","Al.Mass.ug","Si.Mass.ug","P.Mass.ug","S.Mass.ug","K.Mass.ug","Ca.Mass.ug","Ti.Mass.ug","Mn.Mass.ug","Fe.Mass.ug","Cu.Mass.ug","Zn.Mass.ug","Eu.Mass.ug","Pb.Mass.ug","Mg.Mass.ug.m3","Al.Mass.ug.m3","Si.Mass.ug.m3","P.Mass.ug.m3","S.Mass.ug.m3","K.Mass.ug.m3","Ca.Mass.ug.m3","Ti.Mass.ug.m3","Mn.Mass.ug.m3","Fe.Mass.ug.m3","Cu.Mass.ug.m3","Zn.Mass.ug.m3","Eu.Mass.ug.m3","Pb.Mass.ug.m3"
2,1,26.43146667,104.2111,"Indoor","Night","Jiu Bao","always",89.25,1.609295,55.45906748,0.17,0.17,0.106,0.106,5.69e-05,5.97e-05,5.19e-05,5.69e-05,5.97e-05,5.19e-05,3.54e-05,3.71e-05,3.23e-05,3.54e-05,3.71e-05,3.23e-05,0.0012,0.0012,0.0064,0.0057,0.0217,0.0102,0.0164,0.0176,0.0047,0.0258,0.0012,0.0012,0.0064,0.0057,0.0217,0.0102,0.0164,0.0176,0.0047,0.0258,7e-04,7e-04,0.004,0.0035,0.0135,0.0063,0.0102,0.0109,0.0029,0.016,7e-04,7e-04,0.004,0.0035,0.0135,0.0063,0.0102,0.0109,0.0029,0.016,0.2683724373885,0.244825336511865,0.677489874993966,0.182355630533212,5.21949983997891,1.05499613608011,0.251921723077426,0.0404278992219856,0.0331164706392861,0.291812017256566,0.0122573949768786,0.167947815384951,0.0559109244559376,0.0653727732100193,0.166763978878018,0.152132043231269,0.420985509178843,0.113313985647884,3.24334558920453,0.655564166967594,0.156541667672755,0.025121496818163,0.0205782473936016,0.18132910203323,0.0076166240352941,0.104361111781837,0.0347424955995871,0.0406219948549019
3,2,26.43948333,104.1977167,"Indoor","Night","Jiu Bao","always",235.5,1.50696,156.2748845,14.5,14.5,9.622,9.622,8.01e-05,5.61e-05,5.87e-05,8.01e-05,5.61e-05,5.87e-05,5.32e-05,3.72e-05,3.9e-05,5.32e-05,3.72e-05,3.9e-05,0.0022,0.0032,0.0057,0.0045,0.0111,0.0061,0.0111,0.0123,0.0012,0.0131,0.0022,0.0032,0.0057,0.0045,0.0111,0.0061,0.0111,0.0123,0.0012,0.0131,0.0015,0.0021,0.0038,0.003,0.0074,0.004,0.0074,0.0082,8e-04,0.0087,0.0015,0.0021,0.0038,0.003,0.0074,0.004,0.0074,0.0082,8e-04,0.0087,0.734153446509888,0.992418909092892,1.20692332118827,0.352776429115252,5.33992336957631,1.39497756517564,3.41293185400071,0.17171105068487,0.262673823934337,0.831890043299209,0.0107521008569111,0.178269832207586,0.339443824052682,0.051502563104604,0.48717513836458,0.658556902036478,0.800899374361806,0.234098071027268,3.5435070403835,0.925689842580853,2.26477932659176,0.11394532747045,0.174307097689612,0.552031934025594,0.00713496101881342,0.118297653691926,0.22525071936394,0.0341764632801163
4,3,26.44113333,104.1968833,"Indoor","Night","Jiu Bao","sometimes",34.75,1.39776,24.8612065,0.08,0.08,0.057,0.057,1.29e-05,1.05e-05,1.3e-06,1.29e-05,1.05e-05,1.8e-06,9.2e-06,7.5e-06,9e-07,9.2e-06,7.5e-06,1.3e-06,5e-04,5e-04,5e-04,5e-04,7e-04,5e-04,5e-04,8e-04,5e-04,9e-04,0.00035,0.00035,0.00035,0.00035,7e-04,0.00035,0.00035,8e-04,0.00035,9e-04,4e-04,4e-04,4e-04,4e-04,5e-04,4e-04,4e-04,6e-04,4e-04,6e-04,3e-04,3e-04,3e-04,3e-04,5e-04,3e-04,3e-04,6e-04,3e-04,6e-04,0.534701975614188,0.336003151778471,0.564377773979262,0.0980591598150289,4.29116345199321,0.346217647592536,0.172033613710577,0.0120423529597404,0.0234395798680661,0.243750126426174,0.00645126051414664,0.0552657984045229,0.0352668908106683,0.0261276050822939,0.382542049861341,0.240386870262757,0.403773018242947,0.0701545042174829,3.07002879749972,0.247694631118745,0.123078077574531,0.0086154654302172,0.0167693880695299,0.174386251163414,0.00461542790904493,0.0395388324208182,0.025231005902779,0.018692483031632
5,1,26.43146667,104.2111,"Indoor","Day","Jiu Bao","always",46,1.05546,43.58289277,0.25,0.25,0.237,0.237,3.87e-05,4.33e-05,1.67e-05,3.87e-05,4.33e-05,1.67e-05,3.67e-05,4.1e-05,1.58e-05,3.67e-05,4.1e-05,1.58e-05,0.0013,0.0013,0.0027,0.0026,0.0088,0.004,0.0064,0.0071,0.0016,0.0098,0.0013,0.0013,0.0027,0.0026,0.0088,0.004,0.0064,0.0071,0.0016,0.0098,0.0012,0.0012,0.0026,0.0025,0.0083,0.0038,0.0061,0.0067,0.0015,0.0093,0.0012,0.0012,0.0026,0.0025,0.0083,0.0038,0.0061,0.0067,0.0015,0.0093,0.459652311632948,0.300413697942095,0.510617269694707,0.331057185384292,3.04779050890001,0.878446640009634,0.153862563262397,0.0360195378706521,0.0186011344824561,0.194182941475814,0.000430084034276443,0.0852641597953048,0.0277404202108306,0.0497822269674982,0.435499508870965,0.284628217025842,0.483786471959815,0.31366151761724,2.88764188969739,0.832287950286732,0.14577773033786,0.0341268620986604,0.0176237228151291,0.18397944164233,0.000407484920581019,0.0807838855051871,0.0262827773774757,0.047166379557253
6,2,26.43948333,104.1977167,"Indoor","Day","Jiu Bao","always",4559.25,1.04308,4370.949496,306,306,293.362,293.362,0.0008745,0.0014073,0.0025884,0.0008745,0.0014073,0.0025884,0.0008384,0.0013492,0.0024815,0.0008384,0.0013492,0.0024815,0.0206,0.0332,0.0662,0.0579,0.272,0.176,0.31,0.183,0.0167,0.184,0.0206,0.0332,0.0662,0.0579,0.272,0.176,0.31,0.183,0.0167,0.184,0.0197,0.0318,0.0635,0.0555,0.2608,0.1687,0.2972,0.1754,0.016,0.1764,0.0197,0.0318,0.0635,0.0555,0.2608,0.1687,0.2972,0.1754,0.016,0.1764,3.97214861956866,3.75119294695913,1.56367802762058,0.266544580242825,13.2740061128996,6.08117320265176,1.50572420400183,0.0350518487935301,0.212891596966839,0.259340672668695,0,0.402236093057043,0.239556807091979,0.209665966709766,3.80809585033617,3.59626581562213,1.49909693179869,0.255536085672073,12.7257795307163,5.83001610868942,1.44353664532138,0.0336041806894295,0.204099011549296,0.248629704978233,0,0.385623435457533,0.229662928147389,0.201006602283397
8,3,26.44113333,104.1968833,"Indoor","Day","Jiu Bao","sometimes",84.25,1.0881,77.42854517,0.2,0.2,0.184,0.184,1.68e-05,1.55e-05,1.06e-05,1.68e-05,1.55e-05,1.06e-05,1.54e-05,1.42e-05,9.7e-06,1.54e-05,1.42e-05,9.7e-06,5e-04,5e-04,9e-04,8e-04,0.0019,0.0011,0.0015,0.0035,6e-04,0.0039,0.00035,0.00035,9e-04,8e-04,0.0019,0.0011,0.0015,0.0035,6e-04,0.0039,5e-04,5e-04,8e-04,7e-04,0.0017,0.001,0.0014,0.0032,6e-04,0.0036,3e-04,3e-04,8e-04,7e-04,0.0017,0.001,0.0014,0.0032,6e-04,0.0036,0.529971051237147,0.675769538856861,0.6335137824892,0.134723823737096,3.53679605587233,0.43890075697911,0.210096050744042,0.0342992017335463,0.0208590756624075,0.294177479445087,0.0164507143110739,0.104617941337745,0.0318262185364568,0.0896725211466383,0.487060978988279,0.621054626281464,0.582220184256227,0.123815663759853,3.25043291597493,0.403364357117094,0.193085241010975,0.0315221043410958,0.0191701825773435,0.270358863565009,0.0151187522388328,0.0961473590090476,0.0292493507365654,0.0824120220077551
9,4,26.44808333,104.2311167,"Indoor","Night","Qi Long","sometimes",50.75,1.32858,38.19867829,0.29,0.29,0.218,0.218,7.1e-06,5.7e-06,3.9e-06,7.1e-06,5.7e-06,3.9e-06,5.3e-06,4.3e-06,2.9e-06,5.3e-06,4.3e-06,2.9e-06,5e-04,5e-04,5e-04,5e-04,9e-04,5e-04,7e-04,0.0011,5e-04,0.0016,0.00035,0.00035,0.00035,0.00035,9e-04,0.00035,7e-04,0.0011,0.00035,0.0016,4e-04,4e-04,4e-04,4e-04,7e-04,4e-04,5e-04,8e-04,4e-04,0.0012,3e-04,3e-04,3e-04,3e-04,7e-04,3e-04,5e-04,8e-04,3e-04,0.0012,0.415353656102475,0.184291008687456,0.262781344942907,0.151497101073877,2.4181474827193,1.1716564303776,0.106123235457712,0,0.00989193278835818,0.107198445543403,0.0298908403822128,0.056341008490214,0.011612268925464,0.026235126090863,0.312629767196913,0.138712767531843,0.197791134100247,0.114029340403948,1.82009926592249,0.881886247254662,0.0798771887712537,0,0.0074454927730044,0.0806864814639716,0.0224983368575568,0.0424069370984164,0.00874036108135299,0.019746741702316
10,5,26.4507,104.2256333,"Indoor","Night","Qi Long","always",24.75,1.31028,18.88909241,0.08,0.08,0.061,0.061,7.1e-06,6.7e-06,3e-06,7.1e-06,6.7e-06,3e-06,5.4e-06,5.1e-06,2.3e-06,5.4e-06,5.1e-06,2.3e-06,5e-04,5e-04,5e-04,5e-04,0.0012,6e-04,8e-04,0.0011,5e-04,0.0018,0.00035,0.00035,0.00035,0.00035,0.0012,6e-04,8e-04,0.0011,0.00035,0.0018,4e-04,4e-04,4e-04,4e-04,9e-04,5e-04,6e-04,8e-04,4e-04,0.0014,3e-04,3e-04,3e-04,3e-04,9e-04,5e-04,6e-04,8e-04,3e-04,0.0014,0.472447311652672,0.275576344962631,0.79554794240285,0.134293739702819,2.2260074404063,0.746518362495336,0.156335546459487,0.0746195799469628,0.00838663866839063,0.329014286221479,0.0129025210282933,0.0754797480155157,0.0209665966709766,0.0256975210480175,0.360569734448112,0.210318668500344,0.607158731265722,0.102492398344491,1.69887920170215,0.569739569019855,0.119314609441865,0.0569493390320869,0.00640064617363513,0.251102272965686,0.00984714795943866,0.0576058155627161,0.0160016154340878,0.0196122363525487
11,5,26.4507,104.2256333,"Outdoor","Cont","Qi Long","always",38.5,2.3541,16.35444544,0.13,0.13,0.055,0.055,1.53e-05,2.33e-05,8.2e-06,1.53e-05,2.33e-05,8.2e-06,6.5e-06,9.9e-06,3.5e-06,6.5e-06,9.9e-06,3.5e-06,0.0018,0.0016,0.0015,0.0017,0.004,0.0015,0.0023,0.0025,5e-04,0.0036,0.0018,0.0016,0.0015,0.0017,0.004,0.0015,0.0023,0.0025,0.00035,0.0036,8e-04,7e-04,6e-04,7e-04,0.0017,6e-04,0.001,0.0011,2e-04,0.0015,8e-04,7e-04,6e-04,7e-04,0.0017,6e-04,0.001,0.0011,1e-04,0.0015,0.312133487876128,0.171818571693439,0.59846193369567,0.184828613730301,5.86580862248783,0.922637774531539,0.638137185857672,0.0376323529991887,0.0207515546538384,0.304499496267721,0,0.115370042194656,0.0153755042253828,0.0472017227618396,0.132591431067554,0.0729869468983641,0.254221117920084,0.078513492940105,2.4917414818775,0.391928029621316,0.271074799650683,0.0159858769802424,0.00881506930624798,0.129348581737276,0,0.0490081314280004,0.00653137259478477,0.020050857126647
13,4,26.44808333,104.2311167,"Indoor","Day","Qi Long","sometimes",31.25,1.11549,28.01459448,0.21,0.21,0.188,0.188,1.63e-05,2.23e-05,5e-06,1.63e-05,2.23e-05,5e-06,1.46e-05,2e-05,4.5e-06,1.46e-05,2e-05,4.5e-06,9e-04,8e-04,6e-04,9e-04,0.0026,0.0012,0.0018,0.0025,5e-04,0.003,9e-04,8e-04,6e-04,9e-04,0.0026,0.0012,0.0018,0.0025,0.00035,0.003,8e-04,7e-04,5e-04,8e-04,0.0023,0.0011,0.0016,0.0022,4e-04,0.0027,8e-04,7e-04,5e-04,8e-04,0.0023,0.0011,0.0016,0.0022,3e-04,0.0027,0.294715084487932,0.11612268925464,0.364066135015009,0.126337185068705,3.51249630793571,0.912315757708904,0.140637479208397,0.00860168068552885,0.0107521008569111,0.153647521245259,0.0109671428740493,0.0658028572442957,0.0191387395253017,0.0327939076135788,0.264202354559819,0.10410016159234,0.326373284399689,0.113257120250926,3.14883711009127,0.81786099176945,0.126076862372945,0.00771112308091409,0.00963890385114261,0.137739936032828,0.00983168192816546,0.0589900915689928,0.0171572488550338,0.029398656745985
